"symbol","name","sector","industry","curr_close","prev_close","volume","change"
"MWIV","MWI Veterinary Supply, Inc.","Health Care","Medical Specialities",119,"117.71",172100,"-1.0959136861779"
"MYL","Mylan Inc.","Consumer Durables","Major Pharmaceuticals","28.7","29.11",4853800,"1.40845070422535"
"MYRG","MYR Group, Inc.","Basic Industries","Water Supply","22.46","22.8",169200,"1.49122807017544"
"MYGN","Myriad Genetics, Inc.","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","27.24","27.85",1004800,"2.19030520646321"
"NANO","Nanometrics Incorporated","Capital Goods","Industrial Machinery/Components","14.02","14.03",259300,"0.0712758374910916"
"NSPH","Nanosphere, Inc.","Health Care","Medical/Dental Instruments","2.61","2.77",322400,"5.77617328519856"
"NSSC","NAPCO Security Technologies, Inc.","Consumer Durables","Telecommunications Equipment","4.32","4.24",65900,"-1.88679245283019"
"NASB","NASB Financial Inc.","Finance","Savings Institutions","21.46","22.8",10500,"5.87719298245614"
"QQQX","NASDAQ Premium Income and Growth Fund Inc.","Finance","Asset management","15.69","15.86",48300,"1.0718789407314"
"NAFC","Nash-Finch Company","Consumer Non-Durables","Food Distributors","19.77","20.55",60600,"3.79562043795622"
"NATH","Nathan&#39;s Famous, Inc.","Consumer Services","Restaurants","42.69","44.65",11500,"4.38969764837627"
"NAUH","National American University Holdings, Inc.","Consumer Services","Other Consumer Services","3.26","3.34",54100,"2.39520958083833"
"NKSH","National Bankshares, Inc.","Finance","Major Banks","31.8","32.75",24500,"2.90076335877862"
"FIZZ","National Beverage Corp.","Consumer Non-Durables","Beverages (Production/Distribution)","14.48","14.73",38600,"1.69721656483367"
"NCMI","National CineMedia, Inc.","Consumer Services","Advertising","15.55","16.24",464700,"4.2487684729064"
"NATI","National Instruments Corporation","Technology","Computer Software: Prepackaged Software","26.86","27.33",791800,"1.71972191730698"
"NATL","National Interstate Corporation","Finance","Property-Casualty Insurers","26.96","29.05",28700,"7.19449225473322"
"NPBC","National Penn Bancshares, Inc.","Finance","Major Banks","9.39","9.79",1451200,"4.08580183861081"
"NRCI","National Research Corporation","Health Care","Biotechnology: Commercial Physical & Biological Resarch","59.6","59.95",26700,"0.5838198498749"
"NTSC","National Technical Systems, Inc.","Health Care","Precision Instruments","9.47","9.68",6100,"2.1694214876033"
"NWLI","National Western Life Insurance Company","Finance","Life Insurance","183.65","182.62",11800,"-0.564012703975458"
"NAII","Natural Alternatives International, Inc.","Consumer Durables","Specialty Chemicals","4.43","4.49",2200,"1.33630289532295"
"NATR","Nature&#39;s Sunshine Products, Inc.","Consumer Durables","Major Pharmaceuticals","13.64","14.63",46600,"6.76691729323309"
"BABY","Natus Medical Incorporated","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","12.13","12.51",216400,"3.03756994404476"
"NVSL","Naugatuck Valley Financial Corporation","Finance","Savings Institutions","7.39","7.35",100,"-0.544217687074822"
"NAVR","Navarre Corporation","Technology","Retail: Computer Software & Peripheral Equipment","2.5","2.44",236900,"-2.45901639344261"
"NBTB","NBT Bancorp Inc.","Finance","Major Banks","19.45","20.25",175200,"3.95061728395062"
"NCIT","NCI, Inc.","Technology","EDP Services","4.25","4.22",8800,"-0.710900473933651"
"NKTR","Nektar Therapeutics","Consumer Durables","Major Pharmaceuticals","10.27","10.84",1168300,"5.25830258302583"
"NEOG","Neogen Corporation","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","50.42","50.83",155100,"0.806610269525865"
"NEO","NeoGenomics, Inc.","Health Care","Precision Instruments","3.48","3.74",340500,"6.95187165775402"
"NEON","Neonode Inc.","Capital Goods","Industrial Machinery/Components","5.21","5.71",555700,"8.75656742556917"
"NEPT","Neptune Technologies & Bioresources Inc","Consumer Durables","Major Pharmaceuticals","2.66","2.65",108600,"-0.377358490566038"
"UEPS","Net 1 UEPS Technologies, Inc.","Finance","Investment Bankers/Brokers/Service","7.3","7.51",33800,"2.79627163781625"
"NETE","Net Element International, Inc.","Technology","EDP Services","3.98","3.74",21600,"-6.41711229946524"
"NETC","NET Servicos de Comunicacao S.A.","Consumer Services","Television Services","13.8","14.84",100,"7.00808625336926"
"NTAP","NetApp, Inc.","Technology","Electronic Components","34.15","34.89",10225200,"2.12095156205216"
"NTES","NetEase, Inc.","Misc","Business Services","55.8","56.39",247900,"1.04628480226991"
"NFLX","Netflix, Inc.","Consumer Services","Consumer Electronics/Video Chains","212.91","216.07",2622800,"1.46248900819179"
"NTGR","NETGEAR, Inc.","Public Utilities","Telecommunications Equipment","28.89","29.79",456700,"3.02114803625377"
"NLST","Netlist, Inc.","Technology","Semiconductors","0.54","0.55",35200,"1.81818181818182"
"NTCT","NetScout Systems, Inc.","Technology","EDP Services","22.24","22.81",323200,"2.4989039894783"
"NTWK","NetSol Technologies Inc.","Technology","Computer Software: Prepackaged Software","12.33","12.62",182700,"2.29793977812994"
"NTSP","NetSpend Holdings, Inc.","Finance","Finance: Consumer Services","15.95","15.96",464400,"0.0626566416040197"
"NBIX","Neurocrine Biosciences, Inc.","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)",11,"11.54",1068000,"4.6793760831889"
"NURO","NeuroMetrix, Inc.","Finance","Asset management","1.97","1.96",8700,"-0.510204081632648"
"IQNT","Neutral Tandem, Inc.","Public Utilities","Telecommunications Equipment","4.53","2.98",9085300,"-52.013422818792"
"NCBC","New Century Bancorp, Inc. (NC)","Finance","Major Banks","6.46","6.3",4000,"-2.53968253968255"
"NHTB","New Hampshire Thrift Bancshares, Inc.","Finance","Savings Institutions","12.81","12.89",5600,"0.620636152055853"
"NYMT","New York Mortgage Trust, Inc.","Consumer Services","Real Estate Investment Trusts","7.09","7.12",1731700,"0.42134831460674"
"NBBC","NewBridge Bancorp","Finance","Major Banks","5.91","5.89",62800,"-0.339558573853993"
"NEWL","NewLead Holdings Ltd.","Transport","Marine Transport","0.34","0.36",387700,"5.55555555555555"
"NLNK","NewLink Genetics Corporation","Consumer Durables","Major Pharmaceuticals","13.32","13.94",341800,"4.44763271162123"
"NFSB","Newport Bancorp, Inc.","Finance","Savings Institutions","16.95","17.08",300,"0.761124121779855"
"NEWP","Newport Corporation","Capital Goods","Medical Specialities","14.65","15.15",232700,"3.3003300330033"
"NWSA","News Corporation","Consumer Services","Television Services","31.13","30.97",11439000,"-0.516628995802382"
"NWS","News Corporation","Consumer Services","Television Services","31.27","31.12",2189400,"-0.482005141388164"
"NEWS","NewStar Financial, Inc.","Finance","Finance: Consumer Services","11.56","11.95",99700,"3.26359832635982"
"NEWT","Newtek Business Services Inc.","Misc","Business Services","2.06","2.04",7400,"-0.980392156862742"
"NXST","Nexstar Broadcasting Group, Inc.","Consumer Services","Broadcasting","24.98","24.35",783900,"-2.58726899383983"
